flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_ms,bytes_sent,bytes_recv,packet_count,traffic_level,firewall_action,alert_triggered,label,attack_type
sample_01,2026-09-22T23:58:11Z,10.8.8.8,203.0.113.45,11,TCP,45.0,64,0,1,Normal,Non-block,Yes,attack,PortScan
sample_02,2026-09-18T12:00:15Z,10.3.99.200,198.51.100.100,80,UDP,1800.0,32000,120,22000,Abnormal,Non-block,Yes,attack,DoS
sample_03,2026-09-21T02:30:44Z,172.16.32.5,44.210.32.11,21,TCP,54000.0,980000,24000000,17000,Normal,Non-block,No,benign,none
sample_04,2026-09-21T03:05:18Z,192.168.100.77,198.51.100.201,11,TCP,6.0,64,0,1,Normal,Block,No,attack,PortScan
sample_05,2026-09-22T02:18:03Z,10.5.9.120,203.0.113.77,7,TCP,18.0,64,0,2,Normal,Block,No,attack,PortScan
sample_06,2026-09-18T11:45:00Z,172.16.32.14,172.16.32.88,445,TCP,8200.0,450000,800000,1200,Normal,Non-block,Yes,benign,none
sample_07,2026-09-20T04:00:00Z,10.0.0.66,203.0.113.77,8080,TCP,800.0,420,380,6,Normal,Non-block,No,attack,Botnet
sample_08,2026-09-18T14:03:11Z,192.168.2.14,151.101.1.69,443,TCP,1200.0,1800,85000,95,Normal,Block,No,benign,none
sample_09,2026-09-20T10:48:01Z,172.16.8.9,172.16.8.201,139,TCP,2400.0,85000,260000,900,Normal,Non-block,No,benign,none
sample_10,2026-09-21T03:15:11Z,10.2.3.77,198.51.100.45,80,TCP,1200.0,18000,1200,15000,Abnormal,Non-block,No,attack,DoS
sample_11,2026-09-18T02:14:05Z,10.10.5.23,198.51.100.37,443,TCP,420.0,320,410,8,Normal,Non-block,No,attack,Botnet
sample_12,2026-09-20T02:33:11Z,10.2.33.5,198.51.100.200,21,TCP,45000.0,85000,1200000,15000,Abnormal,Non-block,No,benign,none
sample_13,2026-09-19T09:23:44Z,172.16.5.8,198.51.100.44,993,TCP,3120.0,12000,18050,145,Normal,Non-block,No,benign,none
sample_14,2026-09-17T02:05:00Z,10.0.7.200,45.77.12.99,9001,TCP,420000.0,42000000,1200,7200,Abnormal,Non-block,Yes,attack,Exfiltration
sample_15,2026-09-19T22:05:12Z,192.168.10.22,198.51.100.77,7,TCP,35.0,72,0,2,Normal,Non-block,Yes,attack,PortScan
sample_16,2026-09-18T02:21:39Z,172.16.5.14,93.184.216.34,80,TCP,7200.0,56000,1200,12000,Abnormal,Block,Yes,attack,DoS
sample_17,2026-09-20T20:02:19Z,192.168.3.73,151.101.1.69,443,TCP,380.0,560,46000,70,Normal,Block,No,benign,none
sample_18,2026-09-21T03:05:20Z,203.0.113.99,10.5.5.20,80,TCP,4500.0,48000,120,15000,Abnormal,Block,Yes,attack,DoS
sample_19,2026-09-19T01:15:44Z,192.168.100.5,10.0.0.8,22,TCP,7200.0,7200,6400,320,Normal,Non-block,Yes,benign,none
sample_20,2026-09-22T03:12:07Z,192.168.100.200,203.0.113.99,7,TCP,24.0,60,0,1,Normal,Non-block,No,attack,PortScan
